Datetime,googl,googl,googl,googl,googl
2025-08-01 17:05:00+00:00,188.14019775390625,188.1999969482422,187.9199981689453,188.02000427246094,186318
2025-08-01 17:10:00+00:00,188.06500244140625,188.1699981689453,187.98500061035156,188.13999938964844,181662
2025-08-01 17:15:00+00:00,188.1199951171875,188.17599487304688,188.0449981689453,188.0800018310547,162636
2025-08-01 17:20:00+00:00,188.17999267578125,188.3000030517578,188.0749969482422,188.1300048828125,261724
2025-08-01 17:25:00+00:00,188.32000732421875,188.3699951171875,188.14999389648438,188.17999267578125,210288
2025-08-01 17:30:00+00:00,188.49000549316406,188.52999877929688,188.27000427246094,188.30999755859375,237438
2025-08-01 17:35:00+00:00,188.64999389648438,188.64999389648438,188.43499755859375,188.49000549316406,216560
2025-08-01 17:40:00+00:00,188.8699951171875,188.92999267578125,188.6300048828125,188.65499877929688,207139
2025-08-01 17:45:00+00:00,188.74000549316406,188.9250030517578,188.67999267578125,188.875,178697
2025-08-01 17:50:00+00:00,188.9600067138672,189.00999450683594,188.7030029296875,188.7449951171875,213903
2025-08-01 17:55:00+00:00,188.8800048828125,188.9499969482422,188.69000244140625,188.9499969482422,221014
2025-08-01 18:00:00+00:00,188.81500244140625,188.88999938964844,188.63999938964844,188.8699951171875,213591
2025-08-01 18:05:00+00:00,188.67999267578125,188.94000244140625,188.52000427246094,188.81500244140625,246569
2025-08-01 18:10:00+00:00,188.76499938964844,188.8300018310547,188.60000610351562,188.6699981689453,231258
2025-08-01 18:15:00+00:00,188.75999450683594,188.8800048828125,188.7200927734375,188.76499938964844,205724
2025-08-01 18:20:00+00:00,188.8350067138672,188.8699951171875,188.67999267578125,188.75999450683594,170865
2025-08-01 18:25:00+00:00,189.05999755859375,189.1199951171875,188.8000030517578,188.8300018310547,244347
2025-08-01 18:30:00+00:00,189.0,189.22000122070312,188.97760009765625,189.07000732421875,284426
2025-08-01 18:35:00+00:00,189.1699981689453,189.19000244140625,188.99000549316406,189.02000427246094,231455
2025-08-01 18:40:00+00:00,189.33999633789062,189.34469604492188,189.09500122070312,189.1699981689453,214599
2025-08-01 18:45:00+00:00,189.25,189.34500122070312,189.14500427246094,189.34500122070312,147861
2025-08-01 18:50:00+00:00,188.92999267578125,189.27999877929688,188.89999389648438,189.2550048828125,175944
2025-08-01 18:55:00+00:00,189.00990295410156,189.13499450683594,188.8000030517578,188.94000244140625,303492
2025-08-01 19:00:00+00:00,188.89999389648438,189.10009765625,188.84500122070312,188.97500610351562,224418
2025-08-01 19:05:00+00:00,188.74000549316406,189.02000427246094,188.7100067138672,188.88999938964844,230887
2025-08-01 19:10:00+00:00,188.95010375976562,188.97000122070312,188.6999969482422,188.72000122070312,216588
2025-08-01 19:15:00+00:00,189.0,189.02000427246094,188.86000061035156,188.9499969482422,308655
2025-08-01 19:20:00+00:00,188.94000244140625,189.02999877929688,188.65499877929688,189.0050048828125,360929
2025-08-01 19:25:00+00:00,188.82000732421875,188.9600067138672,188.79989624023438,188.9199981689453,411259
2025-08-01 19:30:00+00:00,188.9499969482422,189.02999877929688,188.5500030517578,188.8300018310547,419304
2025-08-01 19:35:00+00:00,188.8350067138672,188.99000549316406,188.80999755859375,188.9600067138672,189336
2025-08-01 19:40:00+00:00,188.90499877929688,188.97999572753906,188.80999755859375,188.82000732421875,287122
2025-08-01 19:45:00+00:00,188.9949951171875,189.16000366210938,188.860107421875,188.89999389648438,534285
2025-08-01 19:50:00+00:00,188.98500061035156,189.32000732421875,188.8000030517578,189.0,759456
2025-08-01 19:55:00+00:00,189.08050537109375,189.24000549316406,188.85000610351562,188.99000549316406,1888701
2025-08-04 13:30:00+00:00,191.8300018310547,191.85000610351562,190.1199951171875,190.30999755859375,2231563
2025-08-04 13:35:00+00:00,192.3249969482422,192.4503936767578,191.6699981689453,191.83999633789062,1157785
2025-08-04 13:40:00+00:00,193.22000122070312,193.42999267578125,192.1999969482422,192.3249969482422,1002037
2025-08-04 13:45:00+00:00,193.52000427246094,193.69000244140625,193.1300048828125,193.24000549316406,795941
2025-08-04 13:50:00+00:00,193.08999633789062,193.66000366210938,193.02000427246094,193.5399932861328,674438
2025-08-04 13:55:00+00:00,194.2449951171875,194.52999877929688,193.0500030517578,193.0803985595703,1027966
2025-08-04 14:00:00+00:00,193.97999572753906,194.47799682617188,193.74000549316406,194.2655029296875,716247
2025-08-04 14:05:00+00:00,193.5500030517578,194.11000061035156,193.5500030517578,193.98500061035156,484440
2025-08-04 14:10:00+00:00,194.2899932861328,194.3300018310547,193.3699951171875,193.57000732421875,455617
2025-08-04 14:15:00+00:00,194.24000549316406,194.52999877929688,194.17999267578125,194.24000549316406,319567
2025-08-04 14:20:00+00:00,194.17979431152344,194.4149932861328,194.02999877929688,194.25,322258
2025-08-04 14:25:00+00:00,194.49989318847656,194.5800018310547,194.04100036621094,194.1699981689453,622674
2025-08-04 14:30:00+00:00,194.18499755859375,194.4864044189453,194.0054931640625,194.47000122070312,397248
2025-08-04 14:35:00+00:00,194.16000366210938,194.27000427246094,194.02000427246094,194.2050018310547,207097
2025-08-04 14:40:00+00:00,193.94000244140625,194.17999267578125,193.75999450683594,194.14500427246094,258881
2025-08-04 14:45:00+00:00,194.0063934326172,194.0399932861328,193.80999755859375,193.94000244140625,198542
2025-08-04 14:50:00+00:00,193.36000061035156,194.0,193.36000061035156,194.0,250723
2025-08-04 14:55:00+00:00,193.5500030517578,193.56500244140625,193.3300018310547,193.3699951171875,247309
2025-08-04 15:00:00+00:00,193.58999633789062,193.69000244140625,193.3000030517578,193.5399932861328,238529
2025-08-04 15:05:00+00:00,193.46499633789062,193.6300048828125,193.44000244140625,193.58999633789062,215077
2025-08-04 15:10:00+00:00,193.38999938964844,193.49000549316406,193.2899932861328,193.47000122070312,264542
2025-08-04 15:15:00+00:00,193.07000732421875,193.4499969482422,193.02000427246094,193.39999389648438,209358
2025-08-04 15:20:00+00:00,192.92999267578125,193.13999938964844,192.8699951171875,193.07000732421875,341309
2025-08-04 15:25:00+00:00,193.14999389648438,193.2899932861328,192.83299255371094,192.91000366210938,306155
2025-08-04 15:30:00+00:00,193.1300048828125,193.33999633789062,193.02000427246094,193.13999938964844,282862
2025-08-04 15:35:00+00:00,193.24000549316406,193.2899932861328,193.0749969482422,193.1199951171875,211173
2025-08-04 15:40:00+00:00,193.19000244140625,193.30999755859375,193.11000061035156,193.25999450683594,261623
2025-08-04 15:45:00+00:00,193.41000366210938,193.4600067138672,193.1300048828125,193.1999969482422,224733
2025-08-04 15:50:00+00:00,193.75399780273438,193.8300018310547,193.38999938964844,193.40499877929688,296525
2025-08-04 15:55:00+00:00,194.0749969482422,194.16000366210938,193.75,193.75,195359
2025-08-04 16:00:00+00:00,194.0800018310547,194.15499877929688,193.97999572753906,194.0800018310547,219796
2025-08-04 16:05:00+00:00,193.80999755859375,194.11000061035156,193.75,194.10000610351562,173485
2025-08-04 16:10:00+00:00,193.9199981689453,194.05999755859375,193.8094024658203,193.82000732421875,167157
2025-08-04 16:15:00+00:00,194.02999877929688,194.22000122070312,193.91650390625,193.9250030517578,341906
2025-08-04 16:20:00+00:00,193.9499969482422,194.07989501953125,193.92999267578125,194.0500030517578,110433
2025-08-04 16:25:00+00:00,193.88999938964844,194.0449981689453,193.88499450683594,193.9499969482422,139753
2025-08-04 16:30:00+00:00,193.88999938964844,193.9799041748047,193.8300018310547,193.8800048828125,135048
2025-08-04 16:35:00+00:00,193.89500427246094,194.07000732421875,193.88999938964844,193.89990234375,135506
2025-08-04 16:40:00+00:00,193.8300018310547,194.10000610351562,193.8280029296875,193.89500427246094,129916
2025-08-04 16:45:00+00:00,193.75999450683594,193.9600067138672,193.74000549316406,193.8350067138672,197625
2025-08-04 16:50:00+00:00,194.10000610351562,194.11000061035156,193.7449951171875,193.75999450683594,140297
2025-08-04 16:55:00+00:00,194.0399932861328,194.1199951171875,193.9499969482422,194.11000061035156,140800
