Datetime,aapl,aapl,aapl,aapl,aapl
2025-08-01 13:55:00+00:00,207.0449981689453,207.99000549316406,206.74000549316406,207.3300018310547,1813937
2025-08-01 14:00:00+00:00,206.22000122070312,207.16000366210938,205.52000427246094,207.0399932861328,2068605
2025-08-01 14:05:00+00:00,207.01939392089844,207.09959411621094,206.13999938964844,206.22999572753906,1273838
2025-08-01 14:10:00+00:00,206.3800048828125,207.47000122070312,206.27999877929688,206.99000549316406,1413263
2025-08-01 14:15:00+00:00,205.89999389648438,206.83990478515625,205.86000061035156,206.36500549316406,1369572
2025-08-01 14:20:00+00:00,204.97999572753906,206.0500030517578,204.50999450683594,205.8800048828125,2038315
2025-08-01 14:25:00+00:00,205.36000061035156,205.47999572753906,204.3699951171875,204.9600067138672,1759531
2025-08-01 14:30:00+00:00,205.07000732421875,205.72999572753906,204.9600067138672,205.3300018310547,1272992
2025-08-01 14:35:00+00:00,204.52999877929688,205.4398956298828,204.2899932861328,205.0800018310547,1272553
2025-08-01 14:40:00+00:00,203.7449951171875,204.66000366210938,203.71499633789062,204.52499389648438,1364678
2025-08-01 14:45:00+00:00,204.14990234375,204.24000549316406,203.7595977783203,203.77999877929688,1042327
2025-08-01 14:50:00+00:00,204.1555938720703,204.43080139160156,204.00999450683594,204.13999938964844,767907
2025-08-01 14:55:00+00:00,204.03990173339844,204.44000244140625,203.99000549316406,204.14500427246094,831710
2025-08-01 15:00:00+00:00,204.39100646972656,204.4199981689453,203.69000244140625,204.02999877929688,919595
2025-08-01 15:05:00+00:00,204.4311981201172,204.4550018310547,204.1009979248047,204.38999938964844,754061
2025-08-01 15:10:00+00:00,204.0500030517578,204.5850067138672,203.76539611816406,204.4199981689453,1021458
2025-08-01 15:15:00+00:00,203.7899932861328,204.39999389648438,203.6300048828125,204.0399932861328,971333
2025-08-01 15:20:00+00:00,203.42999267578125,203.7967071533203,203.22000122070312,203.77999877929688,875871
2025-08-01 15:25:00+00:00,203.44000244140625,203.48739624023438,203.07000732421875,203.43499755859375,653669
2025-08-01 15:30:00+00:00,203.28309631347656,203.8699951171875,203.24000549316406,203.4199981689453,797355
2025-08-01 15:35:00+00:00,203.6300048828125,203.88999938964844,203.22500610351562,203.25999450683594,661488
2025-08-01 15:40:00+00:00,204.4199981689453,204.58999633789062,203.6300048828125,203.6300048828125,1139886
2025-08-01 15:45:00+00:00,204.13999938964844,204.5800018310547,204.07090759277344,204.4199981689453,649720
2025-08-01 15:50:00+00:00,203.9600067138672,204.1999969482422,203.6750030517578,204.14999389648438,811423
2025-08-01 15:55:00+00:00,203.72999572753906,203.98989868164062,203.5850067138672,203.97999572753906,576083
2025-08-01 16:00:00+00:00,203.6999969482422,204.00999450683594,203.6199951171875,203.7100067138672,720960
2025-08-01 16:05:00+00:00,203.4698944091797,203.72000122070312,203.44000244140625,203.7100067138672,659285
2025-08-01 16:10:00+00:00,203.14999389648438,203.50999450683594,202.96499633789062,203.47000122070312,966013
2025-08-01 16:15:00+00:00,202.97000122070312,203.2100067138672,202.83009338378906,203.13999938964844,795752
2025-08-01 16:20:00+00:00,202.81619262695312,203.13999938964844,202.64999389648438,202.97999572753906,813739
2025-08-01 16:25:00+00:00,202.75,203.11000061035156,202.71929931640625,202.82000732421875,669186
2025-08-01 16:30:00+00:00,203.19000244140625,203.1999969482422,202.64999389648438,202.75999450683594,635003
2025-08-01 16:35:00+00:00,203.0399932861328,203.27999877929688,202.85000610351562,203.1699981689453,691301
2025-08-01 16:40:00+00:00,203.02999877929688,203.08999633789062,202.6199951171875,203.05999755859375,621541
2025-08-01 16:45:00+00:00,203.1199951171875,203.2895050048828,202.97000122070312,203.0,538800
2025-08-01 16:50:00+00:00,202.3686981201172,203.11000061035156,202.30999755859375,203.10000610351562,1209698
2025-08-01 16:55:00+00:00,202.0850067138672,202.4530029296875,201.96009826660156,202.3800048828125,870592
2025-08-01 17:00:00+00:00,201.8800048828125,202.36500549316406,201.85000610351562,202.07000732421875,658607
2025-08-01 17:05:00+00:00,201.8300018310547,202.07000732421875,201.6199951171875,201.86000061035156,812993
2025-08-01 17:10:00+00:00,201.77000427246094,201.93499755859375,201.5399932861328,201.8300018310547,719093
2025-08-01 17:15:00+00:00,201.6999969482422,201.81500244140625,201.5,201.76559448242188,652470
2025-08-01 17:20:00+00:00,202.0709991455078,202.3000030517578,201.55960083007812,201.6699981689453,648608
2025-08-01 17:25:00+00:00,201.9824981689453,202.289794921875,201.9678955078125,202.02999877929688,442652
2025-08-01 17:30:00+00:00,202.1649932861328,202.4949951171875,201.97999572753906,201.9801025390625,508858
2025-08-01 17:35:00+00:00,201.7050018310547,202.22000122070312,201.63009643554688,202.1649932861328,929056
2025-08-01 17:40:00+00:00,201.85110473632812,202.1300048828125,201.6699981689453,201.7050018310547,638875
2025-08-01 17:45:00+00:00,202.27999877929688,202.30999755859375,201.6999969482422,201.8596954345703,823205
2025-08-01 17:50:00+00:00,202.2928009033203,202.5500030517578,202.2100067138672,202.29989624023438,695691
2025-08-01 17:55:00+00:00,202.21800231933594,202.375,201.9499969482422,202.3000030517578,593047
2025-08-01 18:00:00+00:00,202.49000549316406,202.6898956298828,202.21710205078125,202.21710205078125,641272
2025-08-01 18:05:00+00:00,202.49000549316406,202.8791961669922,202.1999969482422,202.4600067138672,765944
2025-08-01 18:10:00+00:00,202.47999572753906,202.6699981689453,202.35000610351562,202.4600067138672,514091
2025-08-01 18:15:00+00:00,202.7100067138672,202.77999877929688,202.41000366210938,202.4600067138672,486049
2025-08-01 18:20:00+00:00,203.31700134277344,203.34519958496094,202.67999267578125,202.70159912109375,652567
2025-08-01 18:25:00+00:00,203.5500030517578,203.72999572753906,203.02000427246094,203.322998046875,777978
2025-08-01 18:30:00+00:00,203.52000427246094,203.72000122070312,203.3699951171875,203.5500030517578,537085
2025-08-01 18:35:00+00:00,204.02999877929688,204.07000732421875,203.5500030517578,203.5500030517578,956532
